25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
253
# a b m n r  k err rhoa
8	9	17	18	2.29242968850312e-02	7.68607915666014e+02	4.37218395275175e-02	1.76197960469127e+01
9	10	18	19	2.33010045553265e-02	7.68607915666014e+02	4.30166046307392e-02	1.79093365441938e+01
10	11	19	20	-1.07189588055153e-01	-2.48389372415181e+02	9.42926432635848e-03	2.66247545064612e+01
11	12	20	21	-1.07303953524841e-01	-2.48389372415180e+02	9.41932111679835e-03	2.66531616737029e+01
12	13	21	22	2.32240755234475e-02	7.68607915666014e+02	4.31587645562201e-02	1.78502082813471e+01
13	14	22	23	2.31307231721715e-02	7.68607915666014e+02	4.33325436847170e-02	1.77784569252103e+01
14	15	23	24	2.29613998707811e-02	7.68607915666014e+02	4.36513516435260e-02	1.76483136954549e+01
15	16	24	25	-1.07389819507750e-01	-2.48389372415181e+02	9.41186964075150e-03	2.66744898713095e+01
1	2	11	12	1.46475476569912e-01	2.97575927300304e+02	6.92708138875865e-03	4.35875757670456e+01
2	3	12	13	1.46595731332347e-01	2.97575927300304e+02	6.92148102752666e-03	4.36233606894894e+01
3	4	13	14	1.46617524348472e-01	2.97575927300304e+02	6.92046709248247e-03	4.36298457664715e+01
4	5	14	15	1.46619047832866e-01	2.97575927300304e+02	6.92039622259667e-03	4.36302991187528e+01
5	6	15	16	4.71976441154248e-01	5.63550388990247e+01	2.21874982055129e-03	2.65982507006709e+01
6	7	16	17	1.46092928241116e-01	2.97575927300304e+02	6.94495828812173e-03	4.34737385933669e+01
7	8	17	18	1.46308653105751e-01	2.97575927300304e+02	6.93486573604916e-03	4.35379331200024e+01
8	9	18	19	1.46232760528812e-01	2.97575927300304e+02	6.93841292733424e-03	4.35153493160446e+01
9	10	19	20	1.45932066868657e-01	2.97575927300304e+02	6.95250350699157e-03	4.34258701212906e+01
10	11	20	21	4.71742874174445e-01	5.63550388990247e+01	2.21979884539859e-03	2.65850880244386e+01
11	12	21	22	1.46190015140315e-01	2.97575927300304e+02	6.94041245252070e-03	4.35026293174248e+01
12	13	22	23	1.46210076223880e-01	2.97575927300304e+02	6.93947389828851e-03	4.35085990129693e+01
13	14	23	24	1.46401095660874e-01	2.97575927300304e+02	6.93054997290742e-03	4.35654417990651e+01
14	15	24	25	1.46157537760094e-01	2.97575927300304e+02	6.94193244717505e-03	4.34929648308892e+01
1	2	12	13	2.26965278570562e-02	7.68607915666014e+02	4.41596026977363e-02	1.74447309690676e+01
2	3	13	14	2.32489771940679e-02	7.68607915666014e+02	4.31126448855202e-02	1.78693479024992e+01
3	4	14	15	2.28611318417431e-02	7.68607915666014e+02	4.38423661664056e-02	1.75712468946481e+01
4	5	15	16	-8.31853341443061e-02	-3.55027692789554e+02	1.21213498002574e-02	2.95330972551811e+01
5	6	16	17	-8.28011853034381e-02	-3.55027692789554e+02	1.21771217988648e-02	2.93967137785200e+01
6	7	17	18	2.31481711575897e-02	7.68607915666014e+02	4.32999570589025e-02	1.77918675849152e+01
7	8	18	19	2.31416887602743e-02	7.68607915666014e+02	4.33120581327941e-02	1.77868851630261e+01
8	9	19	20	2.31853844360713e-02	7.68607915666014e+02	4.32306197556174e-02	1.78204700053240e+01
9	10	20	21	-8.29064845759941e-02	-3.55027692789554e+02	1.21617826833964e-02	2.94340979363080e+01
10	11	21	22	-8.29887342403292e-02	-3.55027692789554e+02	1.21498283189146e-02	2.94632988448696e+01
11	12	22	23	2.29592337981038e-02	7.68607915666014e+02	4.36554604649999e-02	1.76466488348493e+01
12	13	23	24	2.31504885193161e-02	7.68607915666014e+02	4.32956327472584e-02	1.77936487274815e+01
13	14	24	25	2.31300443120548e-02	7.68607915666014e+02	4.33338125473813e-02	1.77779351479510e+01
1	2	13	14	-4.94772687399327e-02	-1.79962674780121e+03	2.03113015828804e-02	8.90406162325317e+01
2	3	14	15	-4.94046023270776e-02	-1.79962674780121e+03	2.03410292340704e-02	8.89098438122909e+01
3	4	15	16	-1.12250037879152e-01	-2.32180777481560e+02	9.00868296255362e-03	2.60623010671160e+01
4	5	16	17	-5.97624459338103e-03	-5.28391522583616e+03	1.67429162047274e-01	3.15779698002871e+01
5	6	17	18	-1.11978552828601e-01	-2.32180777481560e+02	9.03028151141265e-03	2.59992674570045e+01
6	7	18	19	-4.94264898287126e-02	-1.79962674780121e+03	2.03320659117307e-02	8.89492331456758e+01
7	8	19	20	-4.93349054940792e-02	-1.79962674780121e+03	2.03696243153848e-02	8.87844155273899e+01
8	9	20	21	-1.11978476046779e-01	-2.32180777481560e+02	9.03028763476161e-03	2.59992496297414e+01
9	10	21	22	-5.99765352874794e-03	-5.28391522583616e+03	1.66831871924045e-01	3.16910927998412e+01
10	11	22	23	-1.12016583145247e-01	-2.32180777481560e+02	9.02724962609638e-03	2.60080973654912e+01
11	12	23	24	-4.92711295383596e-02	-1.79962674780121e+03	2.03958610725873e-02	8.86696426116104e+01
12	13	24	25	-4.93632280239775e-02	-1.79962674780121e+03	2.03579944632929e-02	8.88353855097603e+01
1	2	14	15	-2.72834746654376e-02	-1.39875055925275e+03	3.67522230860422e-02	3.81627754466391e+01
2	3	15	16	-6.76728768117898e-02	-2.72989784155684e+02	1.48769689587924e-02	1.84740040340447e+01
3	4	16	17	-4.82633169310447e-03	1.13407944848297e+04	2.07296700017268e-01	-5.47344358471182e+01
4	5	17	18	-4.82298444597033e-03	1.13407944848297e+04	2.07440498648200e-01	-5.46964754052800e+01
5	6	18	19	-6.76758309263585e-02	-2.72989784155684e+02	1.48763239300032e-02	1.84748104771432e+01
6	7	19	20	-2.73933568679880e-02	-1.39875055925275e+03	3.66052010536396e-02	3.83164732389084e+01
7	8	20	21	-6.76438558436753e-02	-2.72989784155684e+02	1.48833086616321e-02	1.84660816062231e+01
8	9	21	22	-4.82106031204519e-03	1.13407944848297e+04	2.07523250338011e-01	-5.46746541978737e+01
9	10	22	23	-4.78870307801559e-03	1.13407944848297e+04	2.08924807825503e-01	-5.43076974566464e+01
10	11	23	24	-6.76763940033020e-02	-2.72989784155684e+02	1.48762009889476e-02	1.84749641913964e+01
11	12	24	25	-2.73483177818311e-02	-1.39875055925275e+03	3.66653203234442e-02	3.82534747919582e+01
1	2	15	16	-3.06278106534949e-02	-4.43421716747517e+02	3.27500647177630e-02	1.35810363801906e+01
2	3	16	17	9.44483522154820e-03	1.44294421244800e+03	1.05977972091934e-01	1.36283703204580e+01
3	4	17	18	9.51174929195875e-03	1.44294421244800e+03	1.05233132645265e-01	1.37249235910883e+01
4	5	18	19	9.46268530407510e-03	1.44294421244800e+03	1.05778247544526e-01	1.36541269937319e+01
5	6	19	20	-3.07147885552961e-02	-4.43421716747517e+02	3.26576065158219e-02	1.36196042707264e+01
6	7	20	21	-3.07034023613985e-02	-4.43421716747517e+02	3.26696803314944e-02	1.36145553850811e+01
7	8	21	22	9.46761554774542e-03	1.44294421244800e+03	1.05723215788281e-01	1.36612410603020e+01
8	9	22	23	9.45938319625578e-03	1.44294421244800e+03	1.05815138001368e-01	1.36493622363652e+01
9	10	23	24	9.47230033604067e-03	1.44294421244800e+03	1.05670976903588e-01	1.36680009484592e+01
10	11	24	25	-3.07083436304614e-02	-4.43421716747517e+02	3.26644395553800e-02	1.36167464510919e+01
1	2	16	17	2.24120327097111e-02	9.18295369999295e+02	4.47188890116469e-02	2.05808658696005e+01
2	3	17	18	2.24240383185966e-02	9.18295369999295e+02	4.46950004986695e-02	2.05918905646540e+01
3	4	18	19	2.24700634828817e-02	9.18295369999295e+02	4.46036570885448e-02	2.06341552599205e+01
4	5	19	20	2.24110763205060e-02	9.18295369999295e+02	4.47207931158133e-02	2.05799876218215e+01
5	6	20	21	1.14317485743538e-01	1.17979390544309e+02	8.84756817380867e-03	1.34871072965803e+01
6	7	21	22	2.24250717593562e-02	9.18295369999295e+02	4.46929453752040e-02	2.05928395685187e+01
7	8	22	23	2.23881158975050e-02	9.18295369999295e+02	4.47665545496592e-02	2.05589031716864e+01
8	9	23	24	2.24063565028722e-02	9.18295369999295e+02	4.47301923238530e-02	2.05756534351411e+01
9	10	24	25	2.23910892145312e-02	9.18295369999295e+02	4.47606232693239e-02	2.05616335549451e+01
1	2	17	18	9.42219970441688e-03	1.44294421244800e+03	1.06232329113256e-01	1.35957085320176e+01
2	3	18	19	9.50277950787691e-03	1.44294421244800e+03	1.05332369031723e-01	1.37119806930605e+01
3	4	19	20	9.43836009118552e-03	1.44294421244800e+03	1.06050609040007e-01	1.36190270685764e+01
4	5	20	21	-1.65037290592153e-02	-7.78993434788562e+02	6.06923665137742e-02	1.28562965866579e+01
5	6	21	22	-1.64952433527059e-02	-7.78993434788563e+02	6.07235372596645e-02	1.28496862769976e+01
6	7	22	23	9.45730584705443e-03	1.44294421244800e+03	1.05838358912381e-01	1.36463647373578e+01
7	8	23	24	9.49671805212422e-03	1.44294421244800e+03	1.05399535535471e-01	1.37032343505631e+01
