25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
225
# a b m n r k err rhoa 
14	15	22	23	-6.32537826185331e-04	-1.79962674780121e+03	1.59093312147154e+00	1.13833199099916e+00
15	16	23	24	-7.02291125881213e-02	-1.39846343699018e+02	2.42391091549851e-02	9.82128461667543e+00
16	17	24	25	-1.20321742487546e-02	-5.48331366978825e+02	9.31104985122291e-02	6.59761855354703e+00
1	2	10	11	-4.31264432237625e-02	-2.48389372415180e+02	3.31876297985317e-02	1.07121501668493e+01
2	3	11	12	1.34101252839881e-02	7.68607915666014e+02	8.45705188298290e-02	1.03071284433462e+01
3	4	12	13	1.39565704346345e-02	7.68607915666014e+02	8.16508403467380e-02	1.07271305116103e+01
4	5	13	14	1.37759168167625e-02	7.68607915666014e+02	8.25904499352959e-02	1.05882787109202e+01
5	6	14	15	-4.33077754058629e-02	-2.48389372415181e+02	3.30905418398522e-02	1.07571911537599e+01
6	7	15	16	-4.16738420437765e-02	-2.48389372415180e+02	3.39958676944052e-02	1.03513394713830e+01
7	8	16	17	1.30187957048189e-02	7.68607915666014e+02	8.68120203030646e-02	1.00063494311625e+01
8	9	17	18	1.37198410766706e-02	7.68607915666014e+02	8.28871416521299e-02	1.05451784532088e+01
9	10	18	19	1.38152356318555e-02	7.68607915666014e+02	8.23838540758708e-02	1.06184994634353e+01
10	11	19	20	-4.33456174529744e-02	-2.48389372415181e+02	3.30703830920138e-02	1.07665907160928e+01
11	12	20	21	-4.19761886248683e-02	-2.48389372415180e+02	3.38230299786570e-02	1.04264391489123e+01
12	13	21	22	1.34645593813978e-02	7.68607915666014e+02	8.42690474804224e-02	1.03489669214974e+01
13	14	22	23	1.40120232149834e-02	7.68607915666014e+02	8.13672811311557e-02	1.07697519575322e+01
14	15	23	24	1.42545659559113e-02	7.68607915666014e+02	8.01529603281470e-02	1.09561722280967e+01
15	16	24	25	-4.42506484778135e-02	-2.48389372415181e+02	3.25985388779417e-02	1.09913908043689e+01
1	2	11	12	2.80181413049837e-02	2.97575927300304e+02	4.56911612770732e-02	8.33752438006148e+00
2	3	12	13	2.75316297583341e-02	2.97575927300304e+02	4.63218599399220e-02	8.19275025542492e+00
