25
# x y z 
-40	-40	0
-20	-40	0
0	-40	0
20	-40	0
40	-40	0
-40	-20	0
-20	-20	0
0	-20	0
20	-20	0
40	-20	0
-40	0	0
-20	0	0
0	0	0
20	0	0
40	0	0
-40	20	0
-20	20	0
0	20	0
20	20	0
40	20	0
-40	40	0
-20	40	0
0	40	0
20	40	0
40	40	0
251
# a b m n r k err rhoa 
13	14	20	21	-2.72623964047451e-01	-3.73891767116521e+02	1.36680561207963e-02	1.01931855676012e+02
14	15	21	22	-1.68651053535037e-02	-5.59500223701100e+03	6.92940262772952e-02	9.43603021802794e+01
15	16	22	23	-2.74751248331351e-01	-3.73891767116521e+02	1.36396558926422e-02	1.02727229756079e+02
16	17	23	24	-1.01166440936877e-01	-9.74837354861596e+02	1.98847008033420e-02	9.86208256836670e+01
17	18	24	25	-1.01011176293014e-01	-9.74837354861596e+02	1.98998946126436e-02	9.84694679089401e+01
1	2	9	10	-4.44373128050841e-02	-2.19332546791530e+03	3.25036109718495e-02	9.74654899011097e+01
2	3	10	11	-1.85674803445365e-01	-5.59385374796071e+02	1.53857603802136e-02	1.03863769515472e+02
3	4	11	12	-1.26695734958474e-02	-7.19850699120485e+03	8.89292552213981e-02	9.12020133854412e+01
4	5	12	13	-1.26854925524114e-02	-7.19850699120485e+03	8.88302067001654e-02	9.13166068254105e+01
5	6	13	14	-1.84520716827975e-01	-5.59385374796071e+02	1.54194456708743e-02	1.03218190340457e+02
6	7	14	15	-4.46954448052356e-02	-2.19332546791530e+03	3.23736446601570e-02	9.80316573911259e+01
7	8	15	16	-1.84328657133592e-01	-5.59385374796071e+02	1.54250924167220e-02	1.03110754956331e+02
8	9	16	17	-1.27821156756584e-02	-7.19850699120485e+03	8.82343099823723e-02	9.20121490536161e+01
9	10	17	18	-1.28368563871651e-02	-7.19850699120485e+03	8.79006923377166e-02	9.24062004481006e+01
10	11	18	19	-1.84005213372565e-01	-5.59385374796071e+02	1.54346286263925e-02	1.02929825246843e+02
11	12	19	20	-4.45610839968850e-02	-2.19332546791530e+03	3.24411057879540e-02	9.77369604082808e+01
12	13	20	21	-1.84495567183434e-01	-5.59385374796071e+02	1.54201844264678e-02	1.03204121997119e+02
13	14	21	22	-1.26375496684247e-02	-7.19850699120485e+03	8.91292636814342e-02	9.09714896398538e+01
14	15	22	23	-1.25612859179934e-02	-7.19850699120485e+03	8.96096837957928e-02	9.04225044991986e+01
